Word,Frequency_fake,Frequency_real
"'easili',",156,50
"'disastr',",156,6
"'seven',",155,299
"'arizona',",155,166
"'journal',",155,133
"'bigger',",155,77
"'prosecutor',",155,378
"'knowledg',",154,123
"'urg',",154,714
"'wake',",154,83
"'ben',",154,76
"'link',",154,310
"'size',",154,76
"'gingrich',",153,23
"'appeal',",153,546
"'chair',",153,373
"'jew',",152,29
"'cancel',",152,147
"'jim',",152,163
"'display',",152,68
"'maralago',",152,84
"'camp',",152,72
"'dinner',",152,144
"'duti',",152,132
"'radio',",152,115
"'wikileak',",151,30
"'per',",151,138
"'safeti',",151,272
"'crisi',",151,400
"'brown',",151,127
"'goal',",151,355
"'assist',",151,375
"'wilson',",151,39
"'add',",150,255
"'proud',",150,44
"'enjoy',",150,58
"'approach',",150,345
"'occur',",150,102
"'upset',",150,78
"'legitim',",150,44
"'pennsylvania',",150,120
"'chose',",150,52
"'energi',",150,718
"'statu',",150,268
"'puerto',",149,330
"'deport',",149,241
"'scarborough',",149,17
"'appli',",149,254
"'matt',",149,36
"'qualifi',",149,100
"'onlin',",149,201
"'appropri',",149,268
"'cultur',",149,69
"'lock',",148,49
"'cri',",148,14
"'behalf',",148,159
"'eat',",148,10
"'anthem',",148,147
"'schumer',",148,356
"'kkk',",148,18
"'seri',",147,204
"'oath',",147,37
"'badli',",147,33
"'quick',",147,75
"'languag',",147,155
"'treason',",147,8
"'touch',",147,86
"'expens',",147,283
"'carson',",147,9
"'evil',",146,20
"'obtain',",146,222
"'probe',",146,1039
"'altern',",146,160
"'audio',",146,16
"'typic',",145,139
"'wound',",145,70
"'welcom',",145,250
"'jump',",145,55
"'contribut',",145,230
"'strike',",145,450
"'hatr',",145,25
"'islam',",144,348
"'struggl',",144,220
"'mainstream',",144,55
"'unfit',",144,6
"'reagan',",144,93
"'titl',",144,50
"'hispan',",144,37
"'rank',",143,180
"'religion',",143,78
"'period',",143,264
"'chariti',",143,57
"'bottom',",143,38
"'distract',",143,111
"'suit',",142,103
'twitter'],142,20
"'accomplish',",142,91
"'aim',",142,510
"'sentenc',",142,148
"'impact',",142,406
"'profit',",142,239
"'smith',",141,95
"'intimid',",141,22
"'youtub',",141,8
"'scienc',",141,110
"'owner',",141,202
"'temper',",141,21
"'measur',",141,1170
"'floor',",141,212
"'ail',",141,9
"'beg',",140,13
"'necessari',",140,233
"'interf',",140,146
"'tillerson',",140,1111
"'colleagu',",140,154
"'meddl',",140,532
"'scaramucci',",140,168
"'ultim',",139,192
"'usa',",139,54
"'hunt',",139,95
"'tradit',",139,140
"'produc',",139,302
"'hot',",139,33
"'largest',",139,293
"'weak',",139,78
"'reform',",139,1464
"'club',",138,93
"'treatment',",138,166
"'berni',",138,45
"'yate',",138,77
"'stone',",138,59
"'inappropri',",138,96
"'silenc',",138,37
"'stood',",137,84
"'variou',",137,137
"'proven',",137,23
"'eventu',",137,141
"'labor',",137,248
"'spi',",137,131
"'consist',",137,99
"'stick',",137,94
"'transpar',",137,135
"'code',",136,311
"'regret',",136,52
"'anonym',",136,292
"'guest',",136,25
"'wisconsin',",135,148
"'instanc',",135,60
"'undermin',",135,245
"'wealthi',",135,215
"'bunch',",135,11
"'firm',",135,710
"'partner',",135,334
"'affair',",135,267
"'surrog',",134,13
"'settl',",134,113
"'yeah',",134,8
"'europ',",134,198
"'popul',",134,127
"'gut',",133,38
"'belief',",133,45
"'tom',",133,179
"'germani',",133,207
"'colbert',",133,7
"'modern',",133,126
"'previou',",132,287
"'pain',",132,43
"'collud',",132,174
"'wing',",132,58
"'revel',",132,46
"'mitch',",132,333
"'thu',",131,33
"'undocu',",131,62
"'hospit',",131,227
"'duke',",131,64
"'ok',",131,33
"'roy',",131,143
"'built',",131,73
"'parenthood',",131,79
"'toler',",130,54
"'trail',",130,77
"'highest',",130,124
"'charact',",130,23
"'tap',",130,79
"'meltdown',",129,8
"'canada',",129,328
"'denounc',",129,102
"'regist',",129,99
"'purpos',",129,102
"'divid',",129,189
"'indict',",129,157
"'reflect',",128,189
"'tear',",128,25
"'adam',",128,127
"'negoti',",128,751
"'earn',",128,160
"'profession',",128,92
"'train',",128,154
"'memori',",128,56
"'stun',",127,45
"'saudi',",127,246
"'cheer',",127,78
"'accur',",127,45
"'particip',",127,214
"'advic',",127,79
"'martin',",127,73
"'honest',",127,41
"'deputi',",127,426
"'signific',",127,309
"'yell',",126,16
"'jordan',",126,51
"'la',",126,60
"'brain',",126,56
"'essenti',",126,134
"'hang',",126,19
"'regardless',",126,53
"'todd',",125,20
"'dismiss',",125,329
"'blood',",125,31
"'london',",125,140
"'dnc',",125,29
"'rico',",125,308
"'bother',",125,8
"'rnc',",125,21
"'ann',",125,20
"'spot',",125,50
"'ohio',",124,212
"'intel',",124,70
"'id',",124,38
"'drive',",124,211
"'pledg',",124,375
"'skin',",124,9
"'blue',",124,93
"'premium',",124,207
"'stein',",124,10
"'fulli',",123,224
"'search',",123,128
"'gather',",123,174
"'field',",123,138
"'cb',",123,81
"'justifi',",123,58
"'societi',",123,76
"'jackson',",123,78
"'retir',",123,330
"'strategi',",123,376
"'cross',",123,103
"'spin',",123,13
"'custom',",123,221
"'expand',",123,376
"'ballot',",122,98
"'confus',",122,81
"'award',",122,87
"'spell',",122,29
"'properti',",122,306
"'owe',",122,58
"'stock',",122,307
"'iran',",121,879
"'identifi',",121,237
"'toni',",121,16
"'schedul',",121,336
"'discov',",121,45
"'resort',",121,80
"'poverti',",121,31
"'liberti',",121,164
"'nra',",121,17
"'pastor',",120,15
"'christma',",120,45
"'suspect',",120,145
"'weigh',",120,165
"'anywher',",120,42
"'elizabeth',",120,77
"'witch',",120,83
"'grand',",120,110
"'advanc',",120,396
"'ongo',",120,176
"'chaffetz',",120,51
"'moron',",120,23
"'shout',",119,26
"'actor',",119,39
"'soldier',",119,96
"'neither',",119,109
"'tini',",119,18
"'marriag',",119,36
"'abandon',",119,114
"'holocaust',",119,20
"'paint',",119,27
"'minimum',",119,121
"'tonight',",119,27
"'slave',",119,10
"'reput',",118,62
"'pool',",118,38
"'dr',",118,24
"'smear',",118,11
"'integr',",118,119
"'al',",118,124
"'assassin',",118,27
"'greatest',",117,35
"'headlin',",117,54
"'n',",117,7
"'jersey',",117,270
"'gorsuch',",117,493
"'contain',",116,155
"'wide',",116,219
"'faith',",116,77
"'epic',",116,17
"'improv',",116,342
"'achiev',",116,301
"'loyalti',",116,60
"'environ',",116,144
"'east',",115,278
"'chines',",115,585
"'basi',",115,181
"'feed',",115,35
"'averag',",115,176
"'estat',",115,252
"'establish',",115,235
"'dream',",115,46
"'chant',",115,32
"'divers',",115,74
"'principl',",114,106
"'reduc',",114,545
"'fast',",114,75
"'kim',",114,238
"'bash',",114,8
"'rage',",114,12
"'guard',",114,85
"'reelect',",113,225
"'exact',",113,22
"'advoc',",113,298
"'rock',",113,42
"'bed',",113,27
"'michigan',",113,117
"'neonazi',",113,69
"'advertis',",113,144
"'latino',",113,18
"'dark',",112,45
"'iraq',",112,249
"'separ',",112,441
"'newspap',",112,215
"'info',",112,9
"'store',",112,67
"'nonsens',",112,16
"'consum',",112,533
"'broken',",112,52
"'un',",112,483
"'disappoint',",112,171
"'margin',",112,101
"'ga',",112,379
"'commiss',",111,461
"'san',",111,257
"'film',",111,39
"'hostil',",111,78
"'advantag',",111,130
"'track',",111,156
"'debt',",111,748
"'physic',",111,47
"'battl',",111,236
"'channel',",111,114
"'pelosi',",111,240
"'scene',",110,46
"'activist',",110,191
"'marri',",110,52
"'island',",110,289
"'option',",110,370
"'introduc',",110,294
"'drain',",110,35
"'ruin',",109,17
"'space',",109,64
"'avail',",109,191
"'road',",109,156
"'mine',",109,151
"'bob',",108,217
"'confront',",108,101
"'reli',",108,116
"'tire',",108,27
"'scientist',",108,91
"'declin',",108,828
"'shred',",108,8
"'manufactur',",108,296
"'topic',",108,78
"'solut',",108,217
"'reinc',",108,73
"'predat',",108,14
"'puppet',",108,6
"'oil',",108,425
"'aggress',",108,202
"'rubio',",108,132
"'lee',",108,122
"'nytim',",107,10
"'imposs',",107,52
"'portray',",107,39
"'moder',",107,312
"'spokesman',",107,832
"'payment',",107,544
"'tabl',",106,121
"'dan',",106,68
"'emot',",106,30
"'belong',",106,40
"'jason',",106,58
"'everywher',",106,8
"'object',",106,268
"'roger',",106,93
"'revers',",106,195
"'ball',",105,33
"'heat',",105,63
"'horrif',",105,17
"'brian',",105,57
"'regularli',",105,60
"'su',",105,175
"'conclus',",105,116
"'capabl',",105,133
"'golden',",105,9
"'b',",105,11
"'massacr',",105,15
"'arriv',",104,215
"'unconstitut',",104,75
"'increasingli',",104,133
"'dozen',",104,275
"'writer',",104,56
"'familiar',",104,344
"'hacker',",104,77
"'sensit',",104,121
"'materi',",104,169
"'nine',",104,127
"'maintain',",104,234
"'harri',",104,53
"'missil',",104,727
"'tortur',",104,34
"'christi',",104,134
"'model',",104,81
"'mad',",103,10
"'unabl',",103,146
"'entertain',",103,45
"'mika',",103,10
"'wh',",103,6
"'depend',",103,155
"'elimin',",103,410
"'relief',",103,241
"'kremlin',",103,243
"'destruct',",103,47
"'rick',",103,100
"'earth',",103,27
"'onto',",102,49
"'partisan',",102,138
"'sheriff',",102,58
"'hamilton',",102,6
"'storm',",102,109
"'react',",102,43
"'indiana',",102,40
"'lgbt',",102,45
"'vulner',",102,113
"'asid',",102,141
"'nail',",102,9
"'charl',",102,77
"'round',",102,133
"'ticket',",102,27
"'suddenli',",102,12
"'twice',",101,81
"'suppress',",101,29
"'warrant',",101,99
"'command',",101,143
"'offend',",101,27
"'professor',",101,215
"'swing',",101,57
"'branch',",101,99
"'kennedi',",101,149
"'anim',",101,11
"'compromis',",101,174
"'dress',",100,33
"'boo',",100,12
"'donor',",100,75
"'alarm',",100,102
"'exercis',",100,102
"'pardon',",100,58
"'vow',",100,309
"'thrown',",100,28
"'dem',",100,31
"'spoken',",100,99
"'silent',",100,35
"'rush',",99,56
"'fault',",99,44
"'strategist',",99,183
"'drink',",99,33
"'prosecut',",99,149
"'backlash',",99,52
"'sworn',",99,32
"'strang',",99,129
"'profil',",99,52
"'tim',",99,50
"'aca',",99,35
"'cake',",99,10
"'southern',",98,110
"'inner',",98,43
"'nasti',",98,10
"'plane',",98,130
"'photograph',",98,44
"'asham',",98,12
"'khan',",98,63
"'gold',",98,26
"'sat',",98,31
"'prefer',",98,100
"'finish',",98,95
"'male',",98,19
"'maga',",98,19
"'sue',",98,93
"'capit',",98,361
"'teacher',",98,40
"'acosta',",98,37
"'dishonest',",97,10
"'draw',",97,153
"'drag',",97,27
"'fought',",97,55
"'tactic',",97,62
"'african',",97,28
"'raid',",97,43
"'hey',",97,13
"'moscow',",97,968
"'recal',",97,49
"'slap',",97,42
"'alien',",97,64
"'teach',",96,19
"'card',",96,93
"'flight',",96,179
"'convent',",96,69
"'closer',",96,110
"'loyal',",96,23
"'cold',",96,57
"'seemingli',",96,11
"'mission',",96,179
"'sale',",96,341
"'cancer',",96,96
"'harvey',",96,211
"'inspir',",96,32
"'crook',",96,21
"'retali',",96,145
"'cuban',",96,136
"'contest',",96,91
"'fli',",95,55
"'smoke',",95,13
"'dumb',",95,11
"'loser',",95,21
"'central',",95,327
"'background',",95,87
"'capitol',",95,263
"'waterg',",95,19
"'preexist',",95,76
"'carlson',",95,6
"'lincoln',",95,10
"'circl',",94,58
"'finger',",94,10
"'mostli',",94,138
"'globe',",94,22
"'contract',",94,187
"'fed',",94,398
"'convict',",94,175
"'armi',",94,176
"'unfair',",94,106
"'attract',",94,89
"'furiou',",94,18
"'beach',",94,78
"'gift',",93,47
"'de',",93,85
"'constantli',",93,20
"'klan',",93,28
"'australia',",93,88
"'apprentic',",93,17
"'giant',",93,53
"'walsh',",93,13
"'assess',",93,223
"'art',",93,28
"'joint',",93,270
"'slaveri',",93,12
"'bet',",93,53
"'c',",92,16
"'extremist',",92,40
"'bare',",92,47
"'odd',",92,85
"'frustrat',",92,173
"'anderson',",92,36
"'ill',",92,41
"'draft',",92,275
"'airport',",91,131
"'nut',",91,8
"'embed',",91,6
"'catch',",91,19
"'ideolog',",91,73
"'scam',",91,7
"'bitch',",91,8
"'planet',",91,34
"'punch',",91,16
"'impress',",91,40
"'shortli',",91,114
"'comfort',",91,41
"'unleash',",91,24
"'merkel',",91,89
"'band',",91,29
"'seth',",91,7
"'carrier',",91,86
"'path',",90,183
"'signal',",90,223
"'denial',",90,29
"'motiv',",90,98
"'kevin',",90,202
"'iron',",90,32
"'survey',",90,81
"'strongli',",90,143
"'estim',",90,383
"'surveil',",90,220
"'brother',",90,72
"'syrian',",90,339
"'medicar',",90,70
"'radic',",90,41
"'oversight',",90,217
"'harder',",90,102
"'constant',",89,23
"'desir',",89,93
"'appreci',",89,61
"'annual',",89,300
"'keith',",89,18
"'steal',",89,19
"'frank',",89,119
"'pope',",89,35
"'cuomo',",89,57
"'frankli',",88,38
"'bu',",88,9
"'station',",88,112
"'frighten',",88,9
"'kaepernick',",88,14
"'jon',",88,33
"'surviv',",88,66
"'schiff',",88,179
"'surfac',",88,72
"'guarante',",88,110
"'r',",88,27
"'teen',",88,12
"'assert',",88,131
"'lindsey',",88,106
"'supremaci',",88,13
"'besid',",88,39
"'whenev',",88,14
"'buzzfe',",88,11
"'error',",88,52
"'infrastructur',",88,320
"'nanci',",88,161
"'bowl',",88,21
"'locat',",87,54
"'deepli',",87,108
"'oversea',",87,198
"'hammer',",87,40
"'edit',",87,106
"'suck',",87,9
"'republ',",87,43
"'british',",87,155
"'cabl',",87,89
"'caucu',",87,256
"'ms',",87,17
"'season',",87,45
"'purchas',",87,167
"'shape',",87,75
"['republican',",87,153
"'recus',",87,145
"'editor',",87,18
"'fortun',",87,31
"'pose',",87,148
"'domest',",87,279
"'absurd',",87,12
"'copi',",87,93
"'homeland',",87,311
"'afternoon',",86,87
"'hardli',",86,13
"'rail',",86,32
"'brave',",86,20
"'utter',",86,8
"'resolut',",86,415
"'context',",86,36
"'super',",86,39
"'meanwhil',",86,79
"'romney',",86,43
"'chosen',",85,50
"'immun',",85,54
"'anchor',",85,18
"'select',",85,107
"'dear',",85,7
"'construct',",85,183
"'explod',",85,20
"'appal',",85,7
"'blatant',",85,6
"'comparison',",85,20
"'phrase',",85,23
"'anthoni',",85,88
"'hat',",85,13
"'tragedi',",84,17
"'correspond',",84,55
"'server',",84,64
"'consent',",84,59
"'analysi',",84,153
"'discredit',",84,45
"'prioriti',",84,355
"'tend',",84,64
"'betray',",83,15
"'entitl',",83,38
"'manipul',",83,94
"'viewer',",83,9
"'assur',",83,115
"'updat',",83,94
"'withdraw',",83,304
"'instal',",83,47
"'map',",83,84
"'foot',",83,28
"'neighbor',",83,114
"'lay',",83,65
"'wave',",83,81
"'contrast',",83,81
"'plant',",83,156
"'disapprov',",83,48
"'huckabe',",83,27
"'congratul',",82,37
"'restrict',",82,498
"'hair',",82,8
"'observ',",82,51
"'ir',",82,26
"'matthew',",82,21
"'pursu',",82,226
"'hole',",82,30
"'overal',",82,140
"'sing',",82,7
"'fuel',",82,355
"'examin',",82,150
"'collin',",82,298
"'locker',",82,13
"'summit',",82,300
"'georgia',",82,124
"'kain',",82,8
"'content',",82,198
"'section',",82,178
"'soninlaw',",81,152
"'trend',",81,54
"'digniti',",81,15
"'sister',",81,24
"'frequent',",81,168
"'rare',",81,126
"'consider',",81,222
"'predecessor',",81,206
"'fee',",81,146
"'trigger',",81,160
"'promin',",81,119
"'aliv',",81,18
"'famou',",81,9
"'flood',",81,119
"'admir',",80,47
"'assang',",80,14
"'exploit',",80,35
"'resourc',",80,227
"'sleep',",80,13
"'bust',",80,6
"'tout',",80,63
"'compet',",80,94
"'music',",80,25
"'task',",80,108
"'spokesperson',",80,48
"'carl',",80,39
"'transgend',",80,318
"'tremend',",79,72
"'pattern',",79,21
"'heavili',",79,101
"'ident',",79,93
"'courag',",79,23
"'smile',",79,32
"'cycl',",79,33
"'horror',",79,7
"'loan',",79,185
"'winner',",79,70
"'song',",79,11
"'flip',",79,23
"'extra',",78,33
"'shooter',",78,11
"'protrump',",78,29
"'prohibit',",78,177
"'salli',",78,28
"'boast',",78,32
"'artist',",78,9
"'machin',",78,49
"'adopt',",78,206
"'prayer',",78,30
"'fell',",78,92
"'troop',",78,268
"'pipelin',",78,126
"'bureau',",78,411
"'clapper',",78,56
"'santa',",77,23
"'privileg',",77,83
"'rob',",77,66
"'factor',",77,73
"'regular',",77,102
"'oblig',",77,117
"'fundament',",77,65
"'carter',",77,97
"'cyber',",77,293
"'footbal',",77,69
"'vietnam',",77,137
"'sold',",77,68
"'european',",77,337
"'e',",76,19
"'nightmar',",76,6
"'comedian',",76,24
"'antitrump',",76,43
"'specul',",76,112
"'brzezinski',",76,39
"'monitor',",76,107
"'con',",76,13
"'balanc',",76,170
"'stanc',",76,141
"'trudeau',",76,76
"'doj',",76,12
"'consult',",76,240
"'style',",76,48
"'jack',",76,38
"'outcom',",76,139
"'corner',",76,21
"'steel',",76,246
"'degre',",76,64
"'client',",76,163
"'shake',",75,29
"'arabia',",75,184
"'debunk',",75,7
"'behav',",75,19
"'extend',",75,241
"'plenti',",75,30
"'ship',",75,185
"'seal',",75,24
"'betsi',",75,20
"'bipartisan',",75,438
"'dig',",75,16
"'visa',",75,384
"'impli',",75,14
"'garland',",75,44
"'viral',",75,8
"'environment',",75,400
"'cohen',",75,66
"'net',",74,148
"'vega',",74,51
"'boycott',",74,42
"'lesson',",74,21
"'korean',",74,423
"'empti',",74,21
"'formal',",74,293
"'german',",74,150
"'businessman',",74,92
"'poison',",74,60
"'buri',",74,10
"'easier',",74,123
"'taiwan',",74,125
"'bear',",73,98
"'volunt',",73,53
"'feet',",73,31
"'sink',",73,28
"'pocket',",73,24
"'addict',",73,33
"'narr',",73,23
"'pray',",73,15
"'unpopular',",73,62
"'judiciari',",73,287
"'preced',",73,61
"'rex',",73,328
"'uncomfort',",73,18
"'function',",73,55
"'van',",73,39
"'arpaio',",73,32
"'googl',",73,112
"'conced',",73,28
"'registr',",72,54
"'shall',",72,8
"'injur',",72,52
"'unemploy',",72,40
"'hoax',",72,43
"'footag',",72,16
"'rumor',",72,30
"'routin',",72,61
"'kentucki',",72,127
"'delay',",72,396
"'ice',",72,63
"'unclear',",72,199
"'tip',",72,45
"'score',",72,110
"'louisiana',",72,78
"'referenc',",72,11
"'corp',",72,345
"'slogan',",72,27
"'unaccept',",72,64
"'marco',",72,62
"'termin',",72,143
"'shift',",71,267
"'centuri',",71,71
"'leaker',",71,21
"'furthermor',",71,7
"'isra',",71,133
"'ron',",71,118
"'authoritarian',",71,12
"'cool',",71,18
"'neil',",71,107
"'japan',",71,270
"'wood',",71,13
"'longtim',",71,103
"'forth',",71,27
"'champion',",71,65
"'wow',",71,10
"'cloth',",71,22
"'dump',",71,53
"'griffin',",71,37
"'asset',",71,236
"'struck',",70,110
"'wipe',",70,23
"'cell',",70,32
"'tool',",70,142
"'implement',",70,308
"'tomorrow',",70,50
"'circul',",70,32
"'recommend',",70,244
"'deflect',",70,9
"'explan',",70,45
"'highlight',",70,122
"'financ',",70,428
"'rosenstein',",70,187
"'holder',",70,36
"'wire',",70,17
"'lift',",69,199
"'tone',",69,92
"'airlin',",69,190
"'era',",69,71
"'admiss',",69,74
"'judici',",69,113
"'growth',",69,444
"'cheat',",69,11
"'lobbi',",69,291
"'evan',",69,10
"'symbol',",69,41
"'howard',",69,21
"'crash',",69,35
"'coal',",69,311
"'holiday',",69,98
"'grope',",69,26
"'lieu',",69,8
"'prompt',",69,216
"'audit',",69,39
"'atlant',",69,28
"'hook',",68,16
"'corker',",68,395
"'plagu',",68,19
"'skill',",68,52
"'lo',",68,89
"'outreach',",68,24
"'presenc',",68,75
"'perman',",68,237
"'crew',",68,22
"'slip',",68,35
"'embrac',",68,86
"'escal',",68,118
"'spokeswoman',",68,588
"'birthday',",68,10
"'circuit',",67,221
"'daca',",67,302
"'crush',",67,21
"'kneel',",67,54
"'permiss',",67,55
"'bid',",67,199
"'text',",67,122
"'contradict',",67,35
"'wrongdo',",67,70
"'signatur',",67,238
"'thoma',",67,82
"'traffic',",67,120
"'qualiti',",67,72
"'implic',",67,54
"'sabotag',",67,24
"'oust',",67,53
"'inabl',",67,26
"'lepag',",67,45
"'subpoena',",67,261
"'implod',",67,22
"'newt',",66,8
"'stuck',",66,19
"'deliber',",66,91
"'sport',",66,75
"'experienc',",66,36
"'whatsoev',",66,13
"'truck',",66,85
"'fragil',",66,19
"'twist',",66,22
"'devin',",66,74
"'stewart',",66,22
"'ap',",66,11
"'script',",66,18
"'outright',",66,22
"'klux',",66,28
"'bias',",66,28
"'ring',",66,18
"'ali',",66,9
"'core',",66,87
"'permit',",66,201
"'iowa',",65,112
"'blind',",65,14
"'persecut',",65,20
"'cruel',",65,12
"'movi',",65,31
"'baker',",65,34
"'impos',",65,413
"'older',",65,61
"'chemic',",65,252
"'technolog',",65,389
"'goldman',",65,88
"'hint',",65,31
"'wild',",65,25
"'restaur',",65,55
"'juri',",65,107
"'dedic',",65,34
"'ca',",65,6
"'healthi',",65,64
"'distanc',",65,75
"'injuri',",65,45
"'epa',",65,364
"'compli',",65,217
"'parad',",65,31
"'detain',",64,82
"'tour',",64,101
"'angel',",64,89
"'welfar',",64,39
"'manner',",64,42
"'plu',",64,26
"'match',",64,57
"'comput',",64,95
"'correctli',",64,9
"'penalti',",64,117
"'christoph',",64,77
"'interrupt',",64,11
"'patient',",64,81
"'treasuri',",64,565
"'rival',",64,178
"'kansa',",64,106
"'summer',",64,161
"'scientif',",64,73
"'grave',",64,37
"'breath',",64,21
"'gender',",64,60
"'combat',",64,137
"'relev',",64,62
"'rogu',",64,14
"'daniel',",64,60
"'mall',",63,8
"'stake',",63,105
"'greater',",63,122
"'broadcast',",63,114
"'k',",63,51
"'elderli',",63,32
"'valid',",63,40
"'teenag',",63,82
"'certif',",63,33
"'trumprussia',",63,24
"'assembl',",63,109
"'turkey',",63,206
"'fundrais',",63,68
"'dakota',",63,66
"'comedi',",63,10
"'mislead',",63,60
"'compass',",63,8
"'decent',",63,6
"'recov',",63,80
"'print',",63,17
"'ku',",63,28
"'sea',",63,152
"'ronald',",63,56
"'amazon',",63,42
"'allianc',",63,198
"'embolden',",62,20
"'founder',",62,70
"'recruit',",62,78
"'honestli',",62,12
"'warm',",62,107
"'demograph',",62,17
"'verifi',",62,162
"'upcom',",62,52
"'sach',",62,69
"'feloni',",62,25
"'explos',",62,37
"'forgot',",62,6
"'pure',",62,21
"'clarifi',",62,51
"'cbo',",62,138
"'regim',",62,131
"'deadli',",62,67
"'label',",62,67
"'crucial',",62,89
"'combin',",62,93
"'uniti',",62,55
"'statist',",62,15
"'silver',",62,21
"'nevada',",62,66
"'pop',",62,11
"'gorka',",62,29
"'disrupt',",61,87
"'diseas',",61,38
"'attitud',",61,31
"'float',",61,40
"'coordin',",61,130
"'sought',",61,401
"'escap',",61,14
"'dirt',",61,13
"'fewer',",61,108
"'navi',",61,113
"'suppli',",61,183
"'instruct',",61,74
"'region',",61,484
"'tank',",61,137
"'tune',",61,21
"'begun',",61,82
"'defin',",61,55
"'excit',",61,23
"'slow',",61,142
"'athlet',",61,31
"'extens',",61,123
"'item',",61,109
"'lowincom',",60,118
"'laid',",60,69
"'milk',",60,10
"'coast',",60,84
"'habit',",60,13
"'glass',",60,14
"'conscienc',",60,12
"'awkward',",60,18
"'domin',",60,74
"'mate',",60,8
"'accident',",60,8
"'commanderinchief',",60,9
"'collaps',",60,117
"'fashion',",60,25
"'susan',",60,139
"'flake',",60,135
"'disclos',",60,302
"'ride',",60,30
"'civilian',",60,120
"'ii',",59,11
"'cap',",59,261
"'gross',",59,38
"'suspend',",59,124
"'oppress',",59,9
"'lean',",59,63
"'bow',",59,31
"'rachel',",59,11
"'restor',",59,168
"'hawaii',",59,199
"'mirror',",59,30
"'recess',",59,170
"'mandat',",59,280
"'ought',",59,29
"'turnout',",59,28
"'lunch',",59,79
"'palm',",59,39
"'reuter',",58,6198
"'bag',",58,20
"'pen',",58,23
"'occupi',",58,25
"'flaw',",58,65
"'trial',",58,143
"'lewandowski',",58,16
"'leagu',",58,84
"'plea',",58,62
"'scheme',",58,66
"'ceremoni',",58,57
"'stream',",58,50
"'kislyak',",58,180
"'tea',",58,11
"'bloodi',",58,10
"'investor',",58,262
"'affili',",58,62
"'monument',",58,165
"'settlement',",58,165
"'suspici',",58,17
"'forev',",58,13
"'murphi',",58,83
"'mnuchin',",58,487
"'disappear',",58,7
"'stronger',",58,87
"'fairli',",58,45
"'franc',",58,145
"'sole',",57,76
"'peter',",57,82
"'automat',",57,58
"'sandi',",57,17
"'incit',",57,10
"'colin',",57,17
"'steven',",57,177
"'dossier',",57,108
"'soul',",57,7
"'western',",57,154
"'actress',",57,10
"'episod',",57,12
"'unusu',",57,87
"'succeed',",57,107
"'cash',",57,96
"'dissent',",57,52
"'grill',",57,19
"'vs',",57,12
"'luther',",57,63
"'toxic',",57,27
"'ukrain',",57,275
"'joseph',",57,70
"'bridg',",57,82
"'em',",57,10
"'shine',",56,9
"'wise',",56,11
"'nick',",56,12
"'josh',",56,15
"'notori',",56,11
"'larger',",56,113
"'root',",56,44
"'counter',",56,138
"'legitimaci',",56,11
"'fallen',",56,37
"'strength',",56,49
"'greatli',",56,30
"'unbeliev',",56,8
"'bought',",56,51
"'junior',",56,11
"'glad',",56,21
"'diplomaci',",56,111
"'notabl',",56,49
"'ope',",56,20
"'recipi',",56,76
"'clearanc',",56,47
"'gari',",56,136
"'v',",56,64
"'reckless',",55,28
"'worldwid',",55,52
"'scath',",55,8
"'francisco',",55,164
"'stern',",55,9
"'concentr',",55,38
"'pat',",55,38
"'alexand',",55,98
"'irrespons',",55,27
"'renew',",55,307
"'bleed',",55,13
"'poorli',",55,15
"'slash',",55,212
"'corey',",55,12
"'grace',",55,13
"'jan',",55,275
"'closest',",55,42
"'nafta',",55,392
"'provis',",55,403
"'mitt',",55,17
"'widespread',",55,59
"'rose',",55,104
"'ag',",55,83
"'proper',",55,45
"'crack',",55,96
"'jeffrey',",55,14
"'blumenth',",55,47
"'elsewher',",55,77
"'commerci',",55,127
"'promptli',",55,17
"'properli',",55,35
"'fabric',",55,13
"'mile',",55,70
"'andrea',",55,10
"'pair',",55,48
"'edward',",55,41
"'charlott',",55,6
"'pride',",54,13
"'reward',",54,19
"'passion',",54,15
"'disclosur',",54,194
"'mix',",54,89
"'rel',",54,97
"'plead',",54,155
"'stamp',",54,31
"'vision',",54,46
"'pile',",54,19
"'method',",54,46
"'licens',",54,123
"'hashtag',",54,15
"'backfir',",54,23
"['white',",54,144
"'ear',",54,56
"'vast',",54,53
"'solv',",54,65
"'hugh',",54,6
"'pour',",54,18
"'petit',",53,70
"'feud',",53,44
"'rebuk',",53,52
"'factori',",53,42
"'marshal',",53,22
"'monster',",53,7
"'foxandfriend',",53,18
"'viciou',",53,6
"'meal',",53,24
"'necessarili',",53,37
"'sum',",53,19
"'complex',",53,103
"'logic',",53,16
"'circumst',",53,68
"'dismantl',",53,147
"'depress',",53,8
"'infuri',",53,21
"'somewhat',",53,36
"'english',",53,109
"'digit',",53,105
"'box',",53,24
"'cum',",53,76
"'urban',",53,37
"'pregnanc',",53,8
"'iii',",52,20
"'yemen',",52,136
"'inaccur',",52,12
"'flat',",52,28
"'decenc',",52,11
"'st',",52,78
"'invok',",52,43
"'strengthen',",52,131
"'window',",52,41
"'enabl',",52,88
"'nervou',",52,31
"'nativ',",52,53
"'disput',",52,349
"'river',",52,45
"'tension',",52,301
"'lynch',",52,24
"'lifetim',",52,51
"'phoni',",52,18
"'rang',",52,244
"'attach',",52,71
"'talent',",52,31
"'analyst',",52,358
"'driver',",52,71
"'legaci',",52,33
